Kombinasi,Rata-rata Map 1,Rata-rata Map 2,Rata-rata Map 3,Rata-rata Map 4,Rata-rata Map 5
A*,23.0,18.5,18.75,18.0,20.75
BDS,10.5,15.5,18.0,14.25,4.75
BRC,15.75,16.75,19.75,17.0,14.25
GL,12.5,12.5,16.25,13.0,4.25
JPS,5.0,11.0,12.75,11.0,2.75
PPO,5.0,8.25,11.0,7.5,2.0
TPF,14.0,17.0,15.75,13.25,12.0
BDS-BRC,15.0,15.0,18.0,12.0,8.5
BDS-GL,14.5,18.75,20.5,14.5,11.5
BDS-PPO,5.0,8.0,13.0,7.75,2.0
BDS-TPF,9.5,15.5,16.25,13.5,5.5
BRC-PPO,8.75,9.0,14.75,7.5,4.0
BRC-TPF,14.25,13.5,20.75,13.25,10.0
GL-BRC,14.75,13.5,21.25,11.0,12.75
GL-PPO,7.25,8.0,13.0,9.25,2.0
GL-TPF,11.5,13.5,16.25,13.0,4.25
JPS-BDS,6.0,11.75,13.75,10.0,3.75
JPS-BRC,9.0,13.25,14.25,11.0,6.75
JPS-GL,8.0,10.5,13.75,13.0,2.75
JPS-PPO,4.0,9.0,12.0,8.0,2.0
JPS-TPF,8.5,11.0,12.75,11.0,2.75
TPF-PPO,5.0,8.25,11.5,7.0,2.0
BDS-BRC-PPO,8.0,9.25,14.5,7.0,4.0
BDS-BRC-TPF,15.0,12.25,19.0,12.25,8.5
BDS-GL-BRC,12.5,16.75,19.5,11.25,12.0
BDS-GL-PPO,10.0,9.75,14.75,7.0,5.0
BDS-GL-TPF,15.5,17.75,20.75,14.5,11.5
BDS-TPF-PPO,4.75,8.0,13.0,7.25,2.0
BRC-TPF-PPO,8.75,9.0,14.0,7.25,4.0
GL-BRC-PPO,11.25,8.5,14.5,7.25,5.25
GL-BRC-TPF,13.0,13.5,22.25,10.0,10.75
GL-TPF-PPO,6.5,8.5,13.0,9.25,2.0
JPS-BDS-BRC,11.0,13.25,13.75,12.0,6.5
JPS-BDS-GL,10.0,13.75,15.75,10.5,7.5
JPS-BDS-PPO,5.0,9.0,13.0,7.0,2.0
JPS-BDS-TPF,9.0,13.25,9.25,12.25,4.25
JPS-BRC-PPO,8.0,10.5,13.5,8.25,4.75
JPS-BRC-TPF,9.0,13.25,14.25,11.0,6.75
JPS-GL-BRC,11.0,13.0,15.25,10.0,6.75
JPS-GL-PPO,7.0,8.5,13.0,9.25,2.0
JPS-GL-TPF,9.5,10.5,13.75,13.0,4.5
JPS-TPF-PPO,7.5,9.0,12.0,8.0,2.0
BDS-BRC-TPF-PPO,8.25,9.0,13.75,7.0,4.0
BDS-GL-BRC-PPO,10.0,9.0,14.5,7.0,5.25
BDS-GL-BRC-TPF,12.5,16.0,21.0,10.5,9.75
BDS-GL-TPF-PPO,10.0,9.5,14.75,7.0,5.0
GL-BRC-TPF-PPO,10.5,8.5,14.75,7.0,4.75
JPS-BDS-BRC-PPO,9.25,9.75,13.0,9.25,4.25
JPS-BDS-BRC-TPF,10.25,12.75,10.25,10.5,4.5
JPS-BDS-GL-BRC,10.0,13.75,15.75,11.0,7.5
JPS-BDS-GL-PPO,10.0,10.0,14.0,7.0,4.75
JPS-BDS-GL-TPF,10.0,14.25,14.25,11.75,4.25
JPS-BDS-TPF-PPO,8.75,9.75,8.5,9.25,2.75
JPS-BRC-TPF-PPO,8.0,10.5,13.5,8.25,4.75
JPS-GL-BRC-PPO,10.0,10.0,14.5,7.75,4.75
JPS-GL-BRC-TPF,11.0,13.0,15.25,10.0,6.75
JPS-GL-TPF-PPO,8.5,8.5,13.0,9.25,3.25
BDS-GL-BRC-TPF-PPO,10.0,9.0,14.75,7.0,4.75
JPS-BDS-BRC-TPF-PPO,9.75,9.5,9.5,7.5,2.5
JPS-BDS-GL-BRC-PPO,10.0,10.0,14.0,7.75,4.75
JPS-BDS-GL-BRC-TPF,10.75,12.75,14.75,11.5,8.5
JPS-BDS-GL-TPF-PPO,10.0,10.25,13.0,8.75,2.5
JPS-GL-BRC-TPF-PPO,10.0,10.0,14.5,7.75,4.75
JPS-BDS-GL-BRC-TPF-PPO,10.25,9.25,13.25,7.75,6.25
