Kombinasi,Rata-rata Map 1,Rata-rata Map 2,Rata-rata Map 3,Rata-rata Map 4,Rata-rata Map 5
A*,1988.5,1378.5,1300.5,1587.25,1619.75
BDS,1406.0,1201.5,962.0,1186.75,835.75
BRC,857.75,703.5,376.25,200.75,146.5
GL,1486.75,998.75,923.25,953.5,942.5
JPS,54.0,40.75,54.25,56.5,27.75
PPO,1988.5,1378.5,1300.5,1587.25,1619.75
TPF,2009.5,1398.5,1314.25,1630.0,1699.0
BDS-BRC,835.25,644.0,347.75,203.75,122.75
BDS-GL,1068.0,979.75,652.0,971.25,782.75
BDS-PPO,1406.0,1201.5,962.0,1186.75,835.75
BDS-TPF,1409.75,1164.75,943.25,1133.25,821.5
BRC-PPO,857.75,703.5,376.25,200.75,146.5
BRC-TPF,933.25,694.5,523.25,176.25,142.75
GL-BRC,984.25,881.5,364.0,171.75,316.0
GL-PPO,1486.75,998.75,923.25,953.5,942.5
GL-TPF,1494.5,1030.0,932.0,962.25,936.25
JPS-BDS,42.25,33.75,38.0,39.5,21.75
JPS-BRC,34.0,34.0,27.25,26.0,16.5
JPS-GL,49.75,41.0,48.75,44.5,25.0
JPS-PPO,54.0,40.75,54.25,56.5,27.75
JPS-TPF,55.75,37.25,54.25,55.25,27.5
TPF-PPO,2009.5,1398.5,1314.25,1630.0,1699.0
BDS-BRC-PPO,835.25,644.0,347.75,203.75,122.75
BDS-BRC-TPF,870.5,703.25,453.75,216.75,112.25
BDS-GL-BRC,729.25,836.75,443.5,217.0,414.5
BDS-GL-PPO,1068.0,979.75,652.0,971.25,782.75
BDS-GL-TPF,1078.25,1006.0,653.5,974.5,804.5
BDS-TPF-PPO,1409.75,1164.75,943.25,1133.25,821.5
BRC-TPF-PPO,933.25,694.5,523.25,176.25,142.75
GL-BRC-PPO,984.25,881.5,364.0,171.75,316.0
GL-BRC-TPF,984.25,886.75,379.0,166.25,266.75
GL-TPF-PPO,1494.5,1030.0,932.0,962.25,936.25
JPS-BDS-BRC,31.25,36.25,27.25,35.5,22.25
JPS-BDS-GL,19.75,35.0,32.75,42.0,24.75
JPS-BDS-PPO,42.25,33.75,38.0,39.5,21.75
JPS-BDS-TPF,36.5,50.0,35.75,49.0,17.25
JPS-BRC-PPO,34.0,34.0,27.25,26.0,16.5
JPS-BRC-TPF,31.0,34.0,27.25,26.0,16.5
JPS-GL-BRC,35.25,35.0,29.5,23.0,16.0
JPS-GL-PPO,49.75,41.0,48.75,44.5,25.0
JPS-GL-TPF,47.0,41.0,49.5,44.0,28.75
JPS-TPF-PPO,55.75,37.25,54.25,55.25,27.5
BDS-BRC-TPF-PPO,870.5,703.25,453.75,216.75,112.25
BDS-GL-BRC-PPO,729.25,836.75,443.5,217.0,414.5
BDS-GL-BRC-TPF,729.25,882.0,448.0,215.75,337.75
BDS-GL-TPF-PPO,1078.25,1006.0,653.5,974.5,804.5
GL-BRC-TPF-PPO,984.25,886.75,379.0,166.25,266.75
JPS-BDS-BRC-PPO,31.25,36.25,27.25,35.5,22.25
JPS-BDS-BRC-TPF,33.0,38.0,32.75,39.0,17.25
JPS-BDS-GL-BRC,18.25,38.25,32.25,33.0,23.0
JPS-BDS-GL-PPO,19.75,35.0,32.75,42.0,24.75
JPS-BDS-GL-TPF,27.75,45.75,37.25,37.25,19.0
JPS-BDS-TPF-PPO,36.5,50.0,35.75,49.0,17.25
JPS-BRC-TPF-PPO,31.0,34.0,27.25,26.0,16.5
JPS-GL-BRC-PPO,35.25,35.0,29.5,23.0,16.0
JPS-GL-BRC-TPF,35.25,35.0,29.5,23.0,16.0
JPS-GL-TPF-PPO,47.0,41.0,49.5,44.0,28.75
BDS-GL-BRC-TPF-PPO,729.25,882.0,448.0,215.75,337.75
JPS-BDS-BRC-TPF-PPO,33.0,38.0,32.75,39.0,17.25
JPS-BDS-GL-BRC-PPO,18.25,38.25,32.25,33.0,23.0
JPS-BDS-GL-BRC-TPF,26.25,41.0,36.5,33.25,18.5
JPS-BDS-GL-TPF-PPO,27.75,45.75,37.25,37.25,19.0
JPS-GL-BRC-TPF-PPO,35.25,35.0,29.5,23.0,16.0
JPS-BDS-GL-BRC-TPF-PPO,26.25,41.0,36.5,33.25,18.5
