Kombinasi,Rata-rata Map 1,Rata-rata Map 2,Rata-rata Map 3,Rata-rata Map 4,Rata-rata Map 5
A*,172.0,152.5,111.75,343.25,546.0
BDS,254.5,338.5,162.75,356.5,412.0
BRC,234.0,268.5,197.5,238.75,203.5
GL,156.0,237.5,116.25,230.25,369.25
JPS,10.5,12.5,6.5,20.5,11.25
PPO,172.0,152.5,111.75,343.25,546.0
TPF,167.25,139.25,102.0,293.0,476.0
BDS-BRC,234.25,264.0,203.75,281.75,228.75
BDS-GL,165.25,171.25,178.25,206.75,315.25
BDS-PPO,254.5,338.5,162.75,356.5,412.0
BDS-TPF,239.75,269.25,129.0,294.0,354.25
BRC-PPO,234.0,268.5,197.5,238.75,203.5
BRC-TPF,254.75,279.75,179.75,230.25,202.75
GL-BRC,210.0,210.75,217.5,214.0,260.0
GL-PPO,156.0,237.5,116.25,230.25,369.25
GL-TPF,163.25,264.25,122.75,247.0,423.0
JPS-BDS,17.25,16.5,14.5,18.0,17.5
JPS-BRC,12.75,13.5,11.0,14.0,7.0
JPS-GL,12.75,15.25,12.25,21.75,13.0
JPS-PPO,10.5,12.5,6.5,20.5,11.25
JPS-TPF,10.0,13.25,7.5,20.75,12.0
TPF-PPO,167.25,139.25,102.0,293.0,476.0
BDS-BRC-PPO,234.25,264.0,203.75,281.75,228.75
BDS-BRC-TPF,211.25,243.75,204.25,281.0,216.75
BDS-GL-BRC,185.0,207.75,190.75,245.0,261.0
BDS-GL-PPO,165.25,171.25,178.25,206.75,315.25
BDS-GL-TPF,185.25,161.25,189.0,236.75,301.25
BDS-TPF-PPO,239.75,269.25,129.0,294.0,354.25
BRC-TPF-PPO,254.75,279.75,179.75,230.25,202.75
GL-BRC-PPO,210.0,210.75,217.5,214.0,260.0
GL-BRC-TPF,205.25,227.25,214.25,219.0,251.25
GL-TPF-PPO,163.25,264.25,122.75,247.0,423.0
JPS-BDS-BRC,15.5,16.25,13.25,19.75,14.75
JPS-BDS-GL,12.5,17.0,17.5,22.0,18.0
JPS-BDS-PPO,17.25,16.5,14.5,18.0,17.5
JPS-BDS-TPF,16.25,17.75,14.0,28.0,13.25
JPS-BRC-PPO,12.75,13.5,11.0,14.0,7.0
JPS-BRC-TPF,13.25,13.5,11.0,14.0,7.0
JPS-GL-BRC,12.25,12.5,14.25,15.0,8.25
JPS-GL-PPO,12.75,15.25,12.25,21.75,13.0
JPS-GL-TPF,11.5,15.25,12.25,21.75,13.0
JPS-TPF-PPO,10.0,13.25,7.5,20.75,12.0
BDS-BRC-TPF-PPO,211.25,243.75,204.25,281.0,216.75
BDS-GL-BRC-PPO,185.0,207.75,190.75,245.0,261.0
BDS-GL-BRC-TPF,195.75,231.25,204.75,253.75,277.0
BDS-GL-TPF-PPO,185.25,161.25,189.0,236.75,301.25
GL-BRC-TPF-PPO,205.25,227.25,214.25,219.0,251.25
JPS-BDS-BRC-PPO,15.5,16.25,13.25,19.75,14.75
JPS-BDS-BRC-TPF,15.0,17.75,14.75,23.5,13.75
JPS-BDS-GL-BRC,11.0,17.5,18.5,23.0,16.25
JPS-BDS-GL-PPO,12.5,17.0,17.5,22.0,18.0
JPS-BDS-GL-TPF,16.5,18.25,17.25,20.5,14.75
JPS-BDS-TPF-PPO,16.25,17.75,14.0,28.0,13.25
JPS-BRC-TPF-PPO,13.25,13.5,11.0,14.0,7.0
JPS-GL-BRC-PPO,12.25,12.5,14.25,15.0,8.25
JPS-GL-BRC-TPF,12.25,12.5,14.25,15.0,8.25
JPS-GL-TPF-PPO,11.5,15.25,12.25,21.75,13.0
BDS-GL-BRC-TPF-PPO,195.75,231.25,204.75,253.75,277.0
JPS-BDS-BRC-TPF-PPO,15.0,17.75,14.75,23.5,13.75
JPS-BDS-GL-BRC-PPO,11.0,17.5,18.5,23.0,16.25
JPS-BDS-GL-BRC-TPF,15.0,17.5,18.0,20.5,14.0
JPS-BDS-GL-TPF-PPO,16.5,18.25,17.25,20.5,14.75
JPS-GL-BRC-TPF-PPO,12.25,12.5,14.25,15.0,8.25
JPS-BDS-GL-BRC-TPF-PPO,15.0,17.5,18.0,20.5,14.0
