Kombinasi,Rata-rata Map 1,Rata-rata Map 2,Rata-rata Map 3,Rata-rata Map 4,Rata-rata Map 5
A*,98.81549416771887,97.44722215136416,98.81549416771887,92.22539674441617,90.0286976033153
BDS,99.4368145112785,98.27564927611034,99.4368145112785,93.05382386916239,90.0286976033153
BRC,110.4472221513642,100.0789501350095,104.865746699413,93.22539674441617,99.10838738653231
GL,100.865746699413,97.44722215136416,98.81549416771887,92.22539674441617,90.0286976033153
JPS,98.81549416771887,97.44722215136414,98.81549416771887,92.22539674441617,90.0286976033153
PPO,95.09453807237597,94.28719018831526,96.09135241389544,89.60451849562072,87.33691238960859
TPF,98.81549416771887,97.44722215136416,98.81549416771887,92.22539674441617,90.0286976033153
BDS-BRC,107.2253967444162,100.3467170879758,102.8761543394987,93.05382386916237,93.39696961967
BDS-GL,105.0936687607709,102.6690475583121,101.8406204335659,93.05382386916239,94.42209588551708
BDS-PPO,95.57452235488685,92.52641660713583,95.79404337902628,88.20410850128535,87.83084116930945
BDS-TPF,99.4368145112785,98.0685424949238,99.22970773009197,93.05382386916239,90.17514421272202
BRC-PPO,102.6426028580128,95.55804687106941,101.8589186747198,89.35311325426825,90.29777793799398
BRC-TPF,112.5182899632296,99.72539674441619,109.6482322781408,92.93250352560273,98.81549416771885
GL-BRC,110.3614357137373,101.3761543394987,103.3406204335659,92.3718433538229,100.1794551983978
GL-PPO,97.38134140520916,93.01525638432572,95.24546858635269,87.02915991771309,87.25337971078574
GL-TPF,100.5728534805996,98.32590180780451,98.81549416771887,92.22539674441617,90.0286976033153
JPS-BDS,98.81549416771887,97.44722215136414,98.81549416771887,92.22539674441617,90.0286976033153
JPS-BRC,104.9472221513642,102.6941738241592,99.31549416771887,94.42209588551708,94.27564927611036
JPS-GL,100.865746699413,97.59366876077087,98.81549416771887,92.22539674441617,90.0286976033153
JPS-PPO,97.47940228116909,96.0303354056141,98.25915590201265,89.70359386802247,89.17676618598557
JPS-TPF,104.3865619795843,97.44722215136414,98.81549416771887,92.22539674441617,90.0286976033153
TPF-PPO,95.44523339788677,93.91391810676384,95.40427079958275,89.52248109096848,87.38393931334436
BDS-BRC-PPO,102.0609742986981,94.74917278692931,100.9296464662099,89.60108077810561,87.91636272147292
BDS-BRC-TPF,109.7358043845018,99.72539674441619,106.865746699413,92.99316369738256,92.3718433538229
BDS-GL-BRC,105.2401153701776,102.4974746830583,102.754833995939,92.786056916196,99.3510280736516
BDS-GL-PPO,101.7641576046156,97.03251914740976,97.77239606356295,89.04474251239938,89.2164034626815
BDS-GL-TPF,106.0685424949238,102.4619407771256,102.254833995939,93.05382386916239,94.42209588551708
BDS-TPF-PPO,96.1207434007351,92.86178709614308,95.82890158590824,88.96767041134711,87.25337971078574
BRC-TPF-PPO,106.2947469767891,96.12967005510683,103.2143522535132,89.35350062346056,90.58368323137562
GL-BRC-PPO,104.1893666563204,97.12757998731722,98.95532963718236,89.38253734231658,92.69865149093101
GL-BRC-TPF,108.7045814642449,101.3761543394987,104.254833995939,92.22539674441617,96.97234841721126
GL-TPF-PPO,97.10384299743299,93.84773767906115,95.24546858635269,87.02915991771309,87.25337971078574
JPS-BDS-BRC,124.1898628384834,101.5477272147525,98.81549416771887,92.22539674441617,94.71498910433053
JPS-BDS-GL,104.9472221513642,101.8406204335659,101.8406204335659,92.22539674441617,94.42209588551708
JPS-BDS-PPO,95.92366515611673,94.72051092461355,96.2945479532705,89.63197465251324,87.25337971078574
JPS-BDS-TPF,104.0330085889911,104.5121933088197,102.9159992311072,106.4576297914498,90.61448404094219
JPS-BRC-PPO,103.6111302648144,101.0884357896212,98.75915590201265,91.5118722934187,91.29592613104968
JPS-BRC-TPF,104.9472221513642,102.6941738241592,99.31549416771887,94.42209588551708,94.27564927611036
JPS-GL-BRC,104.9472221513642,101.8406204335659,101.4870670429727,94.77564927611036,94.27564927611036
JPS-GL-PPO,99.52965481286324,96.17678201502082,98.25915590201265,88.47938871750956,89.17676618598557
JPS-GL-TPF,104.3865619795843,97.59366876077087,98.81549416771887,92.22539674441617,92.95762979144982
JPS-TPF-PPO,103.0504700930345,96.0303354056141,98.25915590201265,89.70359386802247,89.17676618598557
BDS-BRC-TPF-PPO,105.7593096683424,95.76906682557187,102.1639796876998,89.70390966132952,87.91636272147292
BDS-GL-BRC-PPO,103.08945332942,97.51119481579398,98.7649481864595,89.60108077810561,92.55515667937578
BDS-GL-BRC-TPF,105.2401153701776,102.2903679018718,103.6690475583121,92.63961030678928,96.5936687607709
BDS-GL-TPF-PPO,101.7641576046156,97.06542392572945,97.82502064820477,89.04474251239938,89.2164034626815
GL-BRC-TPF-PPO,104.3047694666849,97.12757998731722,99.50277513396722,89.34618134646816,91.43396250283749
JPS-BDS-BRC-PPO,107.9787863195105,98.374014272215,97.14647937060019,88.00534867131728,90.5030424716091
JPS-BDS-BRC-TPF,120.8614357137373,99.61879502661797,111.1231060122937,97.25052301026327,90.17514421272202
JPS-BDS-GL-BRC,104.9472221513642,101.8406204335659,101.8406204335659,94.77564927611036,94.71498910433053
JPS-BDS-GL-PPO,103.9977862320233,98.62237109481013,100.3085436257117,89.44302272585969,89.63303155760246
JPS-BDS-GL-TPF,104.9472221513642,110.0330085889911,99.66904755831214,94.8111831820431,90.61448404094219
JPS-BDS-TPF-PPO,102.3326259794302,102.0936673964483,100.3563007684949,100.3495660979217,87.87118321562048
JPS-BRC-TPF-PPO,103.6111302648144,101.0884357896212,98.75915590201265,91.5118722934187,91.29592613104968
JPS-GL-BRC-PPO,103.6111302648144,99.84825346925018,100.9307287772664,92.21947187576669,91.29592613104968
JPS-GL-BRC-TPF,104.9472221513642,101.8406204335659,101.4870670429727,94.77564927611036,94.27564927611036
JPS-GL-TPF-PPO,103.0504700930345,96.17678201502082,98.25915590201265,88.47938871750956,90.54771651955157
BDS-GL-BRC-TPF-PPO,103.08945332942,97.4418244390135,99.31239368324435,89.60108077810561,91.1329880230457
JPS-BDS-BRC-TPF-PPO,111.1127314844701,97.89128698300561,109.210901224936,92.11725553080556,87.27978661941248
JPS-BDS-GL-BRC-PPO,103.9977862320233,98.62237109481013,100.3085436257117,91.26310109453651,89.86604866666633
JPS-BDS-GL-BRC-TPF,112.8007755419574,99.41168824543142,100.4619407771256,98.95762979144982,103.9159992311072
JPS-BDS-GL-TPF-PPO,103.4680367889057,97.81147411121466,97.42647145837776,92.01316614937704,87.67602255442925
JPS-GL-BRC-TPF-PPO,103.6111302648144,99.84825346925018,100.9307287772664,92.21947187576669,91.29592613104968
JPS-BDS-GL-BRC-TPF-PPO,107.7555911174936,97.34284650162576,98.44480951430027,92.97340427671645,100.7374920230878
