Kombinasi,Rata-rata Map 1,Rata-rata Map 2,Rata-rata Map 3,Rata-rata Map 4,Rata-rata Map 5
A*,86.25,82.5,86.25,75.0,71.25
BDS,86.25,82.5,86.25,75.0,71.25
BRC,95.5,82.75,93.75,76.0,86.75
GL,89.75,82.5,86.25,75.0,71.25
JPS,11.75,18.75,21.75,22.0,11.5
PPO,7.0,10.25,13.0,9.5,4.0
TPF,86.25,82.5,86.25,75.0,71.25
BDS-BRC,90.0,82.5,90.0,75.0,77.0
BDS-GL,90.25,90.0,90.0,75.0,78.75
BDS-PPO,7.0,10.0,15.25,10.25,4.0
BDS-TPF,86.25,82.5,86.25,75.0,71.5
BRC-PPO,10.75,11.0,16.75,9.75,6.5
BRC-TPF,95.5,82.5,100.5,75.5,86.25
GL-BRC,95.0,88.5,91.5,75.25,85.75
GL-PPO,9.25,10.0,15.0,11.25,4.0
GL-TPF,89.25,84.0,86.25,75.0,71.25
JPS-BDS,14.25,18.5,21.5,21.75,14.25
JPS-BRC,16.25,19.75,23.0,21.0,14.25
JPS-GL,13.25,18.5,22.5,22.5,11.5
JPS-PPO,6.0,11.0,14.0,10.0,4.0
JPS-TPF,16.0,18.75,21.75,22.0,11.5
TPF-PPO,7.0,10.5,13.5,9.0,4.0
BDS-BRC-PPO,10.0,11.25,16.5,9.25,6.5
BDS-BRC-TPF,90.75,82.5,95.75,75.25,75.25
BDS-GL-BRC,90.5,89.0,90.5,75.25,85.75
BDS-GL-PPO,12.25,12.25,16.75,10.0,7.0
BDS-GL-TPF,90.5,90.0,90.0,75.0,78.75
BDS-TPF-PPO,6.75,10.0,15.0,9.5,4.0
BRC-TPF-PPO,10.75,11.0,16.0,9.5,6.25
GL-BRC-PPO,13.25,10.5,16.5,9.25,7.25
GL-BRC-TPF,95.0,88.5,92.0,75.0,82.75
GL-TPF-PPO,8.5,10.75,15.0,11.25,4.0
JPS-BDS-BRC,19.25,19.25,22.25,21.75,14.25
JPS-BDS-GL,17.5,19.25,22.5,22.0,15.0
JPS-BDS-PPO,7.0,11.0,15.0,9.0,4.0
JPS-BDS-TPF,16.75,19.25,18.75,23.75,14.75
JPS-BRC-PPO,10.0,12.5,15.5,10.25,6.75
JPS-BRC-TPF,16.25,19.75,23.0,21.0,14.25
JPS-GL-BRC,18.25,19.75,23.5,21.25,14.25
JPS-GL-PPO,9.0,10.5,15.0,11.25,4.0
JPS-GL-TPF,17.0,18.5,22.5,22.5,12.75
JPS-TPF-PPO,9.5,11.0,14.0,10.0,4.0
BDS-BRC-TPF-PPO,10.75,11.0,15.75,9.25,6.25
BDS-GL-BRC-PPO,12.25,11.0,16.5,9.0,7.25
BDS-GL-BRC-TPF,90.5,89.0,91.0,75.0,81.75
BDS-GL-TPF-PPO,12.25,11.75,16.75,10.0,7.0
GL-BRC-TPF-PPO,12.5,10.5,16.75,9.0,7.0
JPS-BDS-BRC-PPO,11.25,12.0,15.0,11.25,6.25
JPS-BDS-BRC-TPF,18.5,19.0,19.25,21.75,15.0
JPS-BDS-GL-BRC,17.5,19.25,22.75,22.0,14.75
JPS-BDS-GL-PPO,12.0,12.25,16.0,9.25,6.75
JPS-BDS-GL-TPF,17.5,20.25,22.25,23.0,14.0
JPS-BDS-TPF-PPO,10.75,11.75,10.5,11.25,4.75
JPS-BRC-TPF-PPO,10.0,12.5,15.5,10.25,6.75
JPS-GL-BRC-PPO,12.0,12.0,16.5,9.75,6.75
JPS-GL-BRC-TPF,18.25,19.75,23.5,21.25,14.25
JPS-GL-TPF-PPO,10.5,10.5,15.0,11.25,5.25
BDS-GL-BRC-TPF-PPO,12.25,11.0,16.75,9.0,7.0
JPS-BDS-BRC-TPF-PPO,11.75,11.5,11.5,9.5,4.5
JPS-BDS-GL-BRC-PPO,12.0,12.25,16.0,9.75,6.75
JPS-BDS-GL-BRC-TPF,18.25,19.0,22.25,23.0,13.75
JPS-BDS-GL-TPF-PPO,12.0,12.5,15.0,10.75,4.5
JPS-GL-BRC-TPF-PPO,12.0,12.0,16.5,9.75,6.75
JPS-BDS-GL-BRC-TPF-PPO,12.25,11.5,15.25,9.75,8.25
