Kombinasi,Rata-rata Map 1,Rata-rata Map 2,Rata-rata Map 3,Rata-rata Map 4,Rata-rata Map 5
A*,0.054540125,0.03654575,0.03109705,0.06008085,0.09334464999999999
BDS,0.008646000000000001,0.006904700000000001,0.005773149999999999,0.006986625,0.005196124999999999
BRC,0.05065105,0.04947135000000001,0.018684225,0.0110321,0.0075102
GL,0.049563075,0.031556925,0.025307775,0.036720725,0.04588175000000001
JPS,0.0092849,0.004274775,0.006910050000000001,0.006723675,0.01052095
PPO,0.0551398,0.0366187,0.031222675,0.060650575,0.09381455
TPF,0.05424715,0.0347424,0.027460475,0.057298775,0.09535574999999999
BDS-BRC,0.01672355,0.0163663,0.007069475,0.004446,0.0032634
BDS-GL,0.0100605,0.008342325000000001,0.005711025,0.008515675,0.007562174999999999
BDS-PPO,0.008872824999999999,0.007431900000000001,0.005941924999999999,0.00722165,0.005524424999999999
BDS-TPF,0.009072199999999999,0.007425999999999999,0.005869075,0.0072156,0.0054468
BRC-PPO,0.05064705,0.049507875,0.019014175,0.011489,0.00796495
BRC-TPF,0.055626875,0.0468794,0.026144875,0.010381975,0.0073334
GL-BRC,0.064229325,0.05926572500000001,0.02054635,0.009913299999999998,0.019914975
GL-PPO,0.049965575,0.03199279999999999,0.025457975,0.037562125,0.045858225
GL-TPF,0.046804225,0.03106165,0.02432405,0.0336448,0.04237655
JPS-BDS,0.00559105,0.0039058,0.005222349999999999,0.003640075,0.007746649999999999
JPS-BRC,0.0052835,0.004203625000000001,0.002687575,0.003102625,0.005235025000000001
JPS-GL,0.007605074999999999,0.004773400000000001,0.004972450000000001,0.00503695,0.008246225
JPS-PPO,0.0093066,0.004419525000000001,0.007001325,0.006779825,0.010643525
JPS-TPF,0.010083375,0.00395325,0.006776625,0.00620265,0.0102038
TPF-PPO,0.05412305,0.0350676,0.028128625,0.05819557500000001,0.095425575
BDS-BRC-PPO,0.01696275,0.016676975,0.0072044,0.004852,0.0033203
BDS-BRC-TPF,0.0171908,0.016767275,0.0090774,0.0048168,0.0029978
BDS-GL-BRC,0.01839965,0.0272693,0.0121538,0.005375875,0.011490675
BDS-GL-PPO,0.010022375,0.008731575000000002,0.00573825,0.00907945,0.007487725
BDS-GL-TPF,0.009921250000000001,0.008891825,0.005623175,0.00851215,0.007403925
BDS-TPF-PPO,0.00940295,0.007806225,0.006104525,0.007548874999999999,0.005811225
BRC-TPF-PPO,0.05601265,0.0464324,0.026619475,0.010781125,0.0078299
GL-BRC-PPO,0.063667175,0.058915575,0.01998115,0.009996,0.02045935
GL-BRC-TPF,0.061779075,0.0573668,0.019890575,0.009351525,0.016875525
GL-TPF-PPO,0.04708645,0.03135475,0.0245146,0.03336047499999999,0.04249505
JPS-BDS-BRC,0.00476475,0.004264250000000001,0.003283275,0.004159525000000001,0.008389025
JPS-BDS-GL,0.00369145,0.003977,0.003614575,0.003901225,0.009082175
JPS-BDS-PPO,0.005741350000000001,0.00397795,0.005300175,0.003793775,0.0077342
JPS-BDS-TPF,0.005770725000000001,0.006535099999999999,0.0044641,0.006442475,0.00693565
JPS-BRC-PPO,0.005334925000000001,0.004291075,0.00272665,0.00331925,0.005359724999999999
JPS-BRC-TPF,0.004528475,0.0042491,0.002684725,0.00310865,0.005251325
JPS-GL-BRC,0.005883500000000001,0.004362575,0.00368055,0.002916075,0.004852125
